gantry_id,motorway_code,motorway_name,location,ramp,direction,latitude,longitude,source_sheet,quality_flags
M4:m4_mainline:exit:westbound,M4,WestConnex M4 West,M4 Mainline,exit,westbound,-33.82729,151.00338,M4W,
M4:m4_mainline:entry:eastbound,M4,WestConnex M4 West,M4 Mainline,entry,eastbound,-33.82712,151.00334,M4W,
M4:james_ruse_drive:entry:westbound,M4,WestConnex M4 West,James Ruse Drive,entry,westbound,-33.82879,151.02027,M4W,
M4:james_ruse_drive:exit:eastbound,M4,WestConnex M4 West,James Ruse Drive,exit,eastbound,-33.82875,151.02021,M4W,
M4:james_ruse_drive:entry:eastbound,M4,WestConnex M4 West,James Ruse Drive,entry,eastbound,-33.83102,151.02095,M4W,
M4:james_ruse_drive:exit:westbound,M4,WestConnex M4 West,James Ruse Drive,exit,westbound,-33.83177,151.02045,M4W,
M4:silverwater_road:exit:eastbound,M4,WestConnex M4 West,Silverwater Road,exit,eastbound,-33.84162,151.04231,M4W,
M4:silverwater_road:entry:westbound,M4,WestConnex M4 West,Silverwater Road,entry,westbound,-33.84198,151.04181,M4W,
M4:silverwater_road:entry:eastbound,M4,WestConnex M4 West,Silverwater Road,entry,eastbound,-33.84286,151.04498,M4W,
M4:silverwater_road:exit:westbound,M4,WestConnex M4 West,Silverwater Road,exit,westbound,-33.84387,151.04536,M4W,
M4:hill_road:exit:eastbound,M4,WestConnex M4 West,Hill Road,exit,eastbound,-33.84897,151.05312,M4W,
M4:hill_road:entry:eastbound,M4,WestConnex M4 West,Hill Road,entry,eastbound,-33.8513,151.05644,M4W,
M4:hill_road:entry:westbound,M4,WestConnex M4 West,Hill Road,entry,westbound,-33.85116,151.05469,M4W,
M4:homebush_bay_drive:exit:eastbound,M4,WestConnex M4 West,Homebush Bay Drive,exit,eastbound,-33.85628,151.0689,M4W,
M4:homebush_bay_drive_n_b:entry:westbound,M4,WestConnex M4 West,Homebush Bay Drive (N/B),entry,westbound,-33.8569,151.06794,M4W,
M4:m4_mainline_1:entry:westbound,M4,WestConnex M4 West,M4 Mainline (1),entry,westbound,-33.85661,151.06801,M4W,
M4:homebush_bay_drive_s_b_2:entry:westbound,M4,WestConnex M4 West,Homebush Bay Drive (S/B) (2),entry,westbound,-33.85674,151.06798,M4W,
M4:m4_mainline_3:exit:eastbound,M4,WestConnex M4 West,M4 Mainline (3),exit,eastbound,-33.85646,151.06805,M4W,
M4:homebush_bay_dr:entry:eastbound,M4,WestConnex M4 East,Homebush Bay Dr,entry,eastbound,-33.85706,151.07322,M4E,
M4:homebush_bay_dr:exit:westbound,M4,WestConnex M4 East,Homebush Bay Dr,exit,westbound,-33.85803,151.07244,M4E,
M4:concord_strath:entry:westbound,M4,WestConnex M4 East,Concord/Strath,entry,westbound,-33.86328,151.08482,M4E,
M4:concord_strath:exit:eastbound,M4,WestConnex M4 East,Concord/Strath,exit,eastbound,-33.86321,151.08487,M4E,
M4:concord_strath:exit:westbound,M4,WestConnex M4 East,Concord/Strath,exit,westbound,-33.86429,151.09354,M4E,
M4:concord_strath:entry:eastbound,M4,WestConnex M4 East,Concord/Strath,entry,eastbound,-33.86415,151.09354,M4E,
M4:haberfield:entry:westbound,M4,WestConnex M4 East,Haberfield,entry,westbound,-33.87548,151.13458,M4E,
M4:haberfield:exit:eastbound,M4,WestConnex M4 East,Haberfield,exit,eastbound,-33.8752,151.13431,M4E,
M4:ashfield:entry:westbound,M4,WestConnex M4 East,Ashfield,entry,westbound,-33.88083,151.13174,M4E,
M4:ashfield:exit:eastbound,M4,WestConnex M4 East,Ashfield,exit,eastbound,-33.88071,151.13201,M4E,
M8:st_peters:exit:eastbound,M8,WestConnex M8 / M5 East,St Peters,exit,eastbound,-33.91577,151.17522,M8M5E,
